Order ID,Customer ID,Customer Name,Region,State,City,Category,Product Name,Quantity,Unit Price,Discount %,Total Sales,Sales Date,Payment Method,Delivery Status,Customer Segment
O10016,C387,Micheal Haynes,North,Haryana,Faridabad,Electronics,Monitor,6,46998.97,16.63,235098.25,2026-12-24,Net Banking,Delivered,Home Office
O10017,C166,Madeline Herrera,West,Rajasthan,Jodhpur,Appliances,Microwave,20,37689.68,17.57,621352.06,2026-06-28,Credit Card,Delivered,Home Office
O10018,C209,James White,West,Rajasthan,Udaipur,Electronics,Keyboard,36,11025.42,11.13,352738.47,2026-01-08,UPI,Delivered,Home Office
O10019,C451,William Lopez,North,Punjab,Ludhiana,Clothing,T-Shirt,28,46288.07,15.03,1101267.25,2026-09-16,Debit Card,Delivered,Consumer
O10020,C074,Adam Roth,West,Rajasthan,Udaipur,Accessories,Smartwatch,40,16457.21,18.53,536307.56,2026-04-16,Debit Card,Delivered,Home Office
O10021,C119,Anthony Wilson,North,Haryana,Faridabad,Sports,Yoga Mat,45,31466.85,0.17,1413601.04,2026-07-04,Credit Card,Delivered,Home Office
O10022,C370,Kelly Collins,South,Tamil Nadu,Chennai,Furniture,Table,30,4659.95,17.72,115026.21,2026-09-05,Cash,Pending,Home Office
O10023,C017,Mr. Casey Parker PhD,East,Jharkhand,Jamshedpur,Sports,Tennis Racket,9,43862.99,5.73,372146.77,2026-05-18,Net Banking,Pending,Corporate
O10024,C202,Mary Bond,East,West Bengal,Kolkata,Clothing,Jeans,44,18856.94,3.72,798840.32,2026-04-13,Cash,Delivered,Home Office
O10025,C034,Todd Torres,East,Bihar,Bhagalpur,Furniture,Chair,16,37065.41,2.74,576797.08,2026-07-07,Debit Card,Delivered,Home Office
O10026,C295,Samuel Macdonald,North,Punjab,Patiala,Electronics,Monitor,30,18828.88,19.48,454830.43,2026-12-31,Net Banking,Pending,Corporate
O10027,C228,Christopher Morse,East,Odisha,Cuttack,Furniture,Bookshelf,36,21846.24,10.04,707503.59,2026-01-15,Debit Card,Delivered,Corporate
O10028,C117,Donna Coleman,East,Odisha,Bhubaneswar,Accessories,Power Bank,7,3612.55,2.57,24637.95,2026-06-13,Debit Card,Delivered,Home Office
O10029,C350,Katie Kelly,East,Jharkhand,Dhanbad,Appliances,Microwave,24,46841.96,13.86,968391.94,2026-05-27,Credit Card,Delivered,Corporate
O10030,C302,Leslie Garcia,East,Jharkhand,Dhanbad,Accessories,USB Cable,22,48034.92,6.21,991142.93,2026-11-16,Debit Card,Cancelled,Home Office
O10031,C327,Mrs. Claudia Nelson,South,Andhra Pradesh,Guntur,Appliances,Washing Machine,13,25549.98,18.12,271964.21,2026-05-06,Cash,Delivered,Home Office
O10032,C382,Justin Bowen,South,Tamil Nadu,Coimbatore,Furniture,Sofa,32,14169.43,12.31,397605.54,2026-08-14,Debit Card,Delivered,Consumer
O10033,C075,Wendy Gonzalez,North,Punjab,Amritsar,Sports,Yoga Mat,8,33273.04,1.98,260913.87,2026-01-07,UPI,Delivered,Corporate
O10034,C142,Mr. Mark Pearson,North,Delhi,New Delhi,Clothing,Dress,15,36627.27,9.83,495402.14,2026-09-19,Credit Card,Delivered,Consumer
O10035,C463,Susan Diaz,North,Punjab,Patiala,Furniture,Table,43,34094.55,3.33,1417245.66,2026-08-28,Cash,Delivered,Corporate
O10036,C353,Tracy Thomas,South,Tamil Nadu,Chennai,Appliances,Microwave,30,45987.19,5.22,1307599.76,2026-05-30,Credit Card,Delivered,Home Office
O10037,C368,Alan Young,North,Haryana,Faridabad,Sports,Tennis Racket,36,12378.55,18.21,364478.98,2026-01-19,Credit Card,Delivered,Corporate
O10038,C402,Dana Smith,North,Punjab,Patiala,Clothing,Dress,1,47188.85,15.42,39912.33,2026-04-02,Debit Card,Delivered,Consumer
O10039,C140,Monica Mitchell,South,Tamil Nadu,Madurai,Accessories,Charger,27,21030.42,7.93,522793.11,2026-12-25,Credit Card,Delivered,Home Office
O10040,C354,Donald Keith,North,Delhi,New Delhi,Accessories,Headset,2,4308.7,14.16,7397.18,2026-04-25,Credit Card,Delivered,Home Office
O10041,C106,Michael Curry,East,Odisha,Rourkela,Accessories,Smartwatch,6,46343.98,15.29,235547.91,2026-08-10,UPI,Pending,Corporate
O10042,C455,Lisa Parsons,South,Karnataka,Mangalore,Sports,Tennis Racket,49,37132.07,8.62,1662632.99,2026-01-14,Credit Card,Delivered,Consumer
O10043,C127,David Alexander,West,Rajasthan,Udaipur,Electronics,Mouse,15,46699.66,4.59,668342.18,2026-02-24,Debit Card,Delivered,Consumer
O10044,C221,Drew Bell,South,Kerala,Trivandrum,Electronics,Keyboard,21,14770.81,10.9,276376.63,2026-03-09,Net Banking,Delivered,Home Office
O10045,C323,David Kennedy,North,Haryana,Gurgaon,Appliances,Mixer,22,16613.54,7.46,338231.74,2026-08-27,Cash,Delivered,Home Office
O10046,C013,Mrs. Nicole Perry,East,Jharkhand,Jamshedpur,Clothing,T-Shirt,48,37746.69,7.22,1681026.19,2026-01-18,Debit Card,Delivered,Corporate
O10047,C395,Joel Young,West,Rajasthan,Jaipur,Sports,Cricket Bat,3,27786.78,7.33,77250.03,2026-03-13,Net Banking,Delivered,Corporate
O10048,C491,Megan Mitchell,East,Bihar,Gaya,Accessories,Headset,50,43118.03,13.59,1862914.49,2026-03-17,Debit Card,Delivered,Home Office
O10049,C427,Brian Smith,East,Bihar,Bhagalpur,Electronics,Laptop,3,25697.65,16.79,64149.04,2026-08-08,Cash,Delivered,Corporate
O10050,C188,Joshua Turner,South,Karnataka,Bangalore,Furniture,Bookshelf,26,29392.25,13.18,663477.14,2026-01-23,Cash,Delivered,Consumer
O10051,C352,Michael Rivera,West,Goa,Panaji,Appliances,Air Conditioner,44,6830.71,9.96,270616.34,2026-06-24,Debit Card,Delivered,Consumer
O10052,C493,Kevin Grant,North,Uttar Pradesh,Lucknow,Electronics,Monitor,21,1484.74,19.69,25040.29,2026-10-05,UPI,Delivered,Corporate
O10053,C221,Sean Cook,West,Rajasthan,Jaipur,Electronics,Keyboard,43,19533.1,9.11,763406.29,2026-05-27,Net Banking,Delivered,Corporate
O10054,C124,Julie Hernandez,North,Punjab,Amritsar,Furniture,Table,31,23667.08,0.16,732505.59,2026-04-15,Debit Card,Delivered,Corporate
O10055,C077,Autumn Drake,East,Jharkhand,Dhanbad,Furniture,Cabinet,33,47752.27,6.4,1474972.12,2026-10-19,Credit Card,Delivered,Corporate
O10056,C015,Bailey Harper,East,West Bengal,Durgapur,Clothing,Shirt,45,33327.82,0.06,1498852.05,2026-01-04,Debit Card,Delivered,Corporate
O10057,C109,Michael Walls,North,Punjab,Amritsar,Accessories,Power Bank,29,4543.32,14.87,112164.12,2026-04-11,Debit Card,Delivered,Consumer
O10058,C010,Logan Mclaughlin,South,Tamil Nadu,Chennai,Furniture,Bookshelf,2,39272.87,1.37,77469.66,2026-10-22,Net Banking,Delivered,Consumer
O10059,C094,Richard Rogers,East,Jharkhand,Ranchi,Clothing,T-Shirt,45,48889.89,5.59,2077062.53,2026-07-12,Cash,Pending,Home Office
O10060,C119,Mark Ball,West,Goa,Panaji,Accessories,USB Cable,44,6074.08,0.77,265201.62,2026-04-18,UPI,Pending,Consumer
O10061,C133,Jonathan Green,West,Goa,Panaji,Sports,Yoga Mat,43,23734.03,12.51,892890.82,2026-08-11,UPI,Cancelled,Home Office
O10062,C368,Sabrina Reed,South,Andhra Pradesh,Visakhapatnam,Accessories,Power Bank,17,28375.61,13.37,417890.45,2026-01-25,Net Banking,Delivered,Consumer
O10063,C010,Eric Mendez,East,Odisha,Rourkela,Furniture,Cabinet,26,6402.73,15.68,140368.33,2026-09-20,Debit Card,Delivered,Home Office
O10064,C366,Sandra Klein,North,Delhi,New Delhi,Clothing,Shirt,44,35238.63,7.96,1427079.94,2026-07-30,Cash,Cancelled,Home Office
O10065,C127,Michael Coleman,East,West Bengal,Kolkata,Accessories,Charger,16,4575.79,11.88,64514.98,2026-04-03,Debit Card,Pending,Consumer
O10066,C400,Daniel Sharp,West,Rajasthan,Jodhpur,Furniture,Cabinet,46,43702.17,19.12,1625930.49,2026-04-22,UPI,Pending,Home Office
O10067,C390,Taylor Cardenas,West,Gujarat,Ahmedabad,Furniture,Bookshelf,23,35008.53,4.33,770331.19,2026-05-01,Cash,Delivered,Home Office
O10068,C090,Danielle Jones,North,Haryana,Gurgaon,Clothing,Shirt,37,43911.61,3.51,1567701.56,2026-10-26,Cash,Delivered,Consumer
O10069,C223,Robert Ortega,East,Odisha,Bhubaneswar,Appliances,Mixer,41,38355.59,2.81,1528389.71,2026-07-28,UPI,Delivered,Consumer
O10070,C169,James Walls,South,Karnataka,Mangalore,Clothing,Shirt,22,7182.12,2.63,153851.07,2026-05-15,Debit Card,Delivered,Corporate
O10071,C174,Christine Gallagher,West,Maharashtra,Mumbai,Clothing,T-Shirt,16,21483.62,2.65,334628.87,2026-06-18,Net Banking,Delivered,Home Office
O10072,C332,Robert Peterson,East,Jharkhand,Jamshedpur,Appliances,Microwave,34,39029.97,3.29,1283360.06,2026-07-21,UPI,Delivered,Consumer
O10073,C399,Justin Parker,South,Tamil Nadu,Chennai,Appliances,Air Conditioner,6,46477.08,18.47,227356.58,2026-10-01,Credit Card,Pending,Corporate
O10074,C203,Joann Patterson,East,West Bengal,Durgapur,Furniture,Sofa,32,47083.06,13.38,1305067.09,2026-08-21,Debit Card,Cancelled,Corporate
O10075,C166,Anna Brown,South,Karnataka,Mangalore,Clothing,Jeans,15,31611.84,13.63,409547.19,2026-09-21,Net Banking,Delivered,Consumer
O10076,C304,Leonard Williams,West,Maharashtra,Pune,Clothing,Shirt,17,15456.12,10.79,234402.88,2026-04-09,Debit Card,Cancelled,Consumer
O10077,C097,Amanda Figueroa,East,Bihar,Patna,Electronics,Keyboard,20,1244.17,5.61,23487.44,2026-09-16,Debit Card,Delivered,Corporate
O10078,C280,Marie Davis,North,Punjab,Amritsar,Clothing,T-Shirt,12,25736.06,13.25,267912.38,2026-04-08,Cash,Delivered,Corporate
O10079,C155,Joseph Long,South,Kerala,Trivandrum,Electronics,Monitor,23,17182.99,18.56,321858.02,2026-11-02,Credit Card,Delivered,Corporate
O10080,C313,Emily Burns,West,Maharashtra,Nagpur,Sports,Tennis Racket,19,20886.78,1.67,390221.44,2026-07-14,Debit Card,Delivered,Consumer
O10081,C362,Brittany Edwards,North,Uttar Pradesh,Lucknow,Accessories,Headset,4,39025.21,7.04,145111.34,2026-08-30,Cash,Delivered,Home Office
O10082,C211,Elizabeth Wilson,West,Gujarat,Vadodara,Clothing,Dress,50,1348.21,3.02,65374.7,2026-10-30,UPI,Cancelled,Corporate
O10083,C213,Angela Buckley PhD,North,Punjab,Ludhiana,Clothing,Dress,40,26839.2,0.75,1065516.24,2026-05-21,Net Banking,Delivered,Home Office
O10084,C258,Lori Tran,West,Goa,Margao,Furniture,Sofa,46,36507.29,2.66,1634665.02,2026-12-27,Net Banking,Delivered,Home Office
O10085,C429,Dale Gomez,South,Karnataka,Bangalore,Accessories,Power Bank,9,24087.44,2.52,211323.93,2026-07-29,Debit Card,Delivered,Home Office
O10086,C361,Daniel Petty,South,Kerala,Trivandrum,Accessories,Headset,18,33977.12,10.66,546392.86,2026-08-01,Debit Card,Delivered,Corporate
O10087,C394,Anna Jackson,West,Maharashtra,Nagpur,Electronics,Keyboard,17,16957.32,9.85,259879.41,2026-08-29,Cash,Delivered,Consumer
O10088,C100,Laura Marshall,South,Tamil Nadu,Madurai,Appliances,Air Conditioner,23,29748.34,16.61,570564.24,2026-06-08,Credit Card,Pending,Corporate
O10089,C124,Howard Ramirez,North,Punjab,Ludhiana,Accessories,Charger,19,24975.51,12.2,416641.46,2026-11-19,Credit Card,Delivered,Consumer
O10090,C256,Julie Small,North,Punjab,Ludhiana,Accessories,Smartwatch,34,49014.67,13.21,1446354.29,2026-09-02,UPI,Delivered,Home Office
O10091,C020,Maria Walsh,South,Tamil Nadu,Madurai,Sports,Football,39,19611.85,11.59,676214.63,2026-09-16,Net Banking,Delivered,Corporate
O10092,C492,Amy Brown,West,Gujarat,Ahmedabad,Clothing,T-Shirt,3,47771.87,10.67,128023.83,2026-07-16,Debit Card,Delivered,Consumer
O10093,C054,Robert Taylor,North,Haryana,Panipat,Electronics,Monitor,28,47641.22,8.73,1217499.96,2026-03-23,Cash,Delivered,Consumer
O10094,C113,Victor Bruce,South,Karnataka,Mangalore,Sports,Basketball,18,4248.48,10.77,68236.54,2026-02-27,Debit Card,Delivered,Home Office
O10095,C313,Michael Green,North,Uttar Pradesh,Noida,Electronics,Mouse,6,44059.21,6.63,246828.51,2026-12-23,Net Banking,Pending,Corporate
O10096,C454,Lauren Anderson,West,Gujarat,Surat,Accessories,Headset,34,27398.4,14.16,799638.74,2026-12-28,Net Banking,Cancelled,Home Office
O10097,C117,Beth Myers,East,West Bengal,Durgapur,Furniture,Cabinet,47,19832.74,15.09,791479.04,2026-06-13,UPI,Delivered,Home Office
O10098,C132,Christine Dougherty,East,West Bengal,Kolkata,Clothing,Jeans,36,33236.47,11.04,1064417.89,2026-10-16,Net Banking,Delivered,Consumer
O10099,C234,Zachary Booker,West,Gujarat,Surat,Furniture,Bookshelf,3,28517.52,19.64,68750.04,2026-03-01,UPI,Delivered,Consumer
O10100,C134,Terri Lutz,South,Tamil Nadu,Coimbatore,Appliances,Mixer,4,9235.63,17.2,30588.41,2026-01-27,Cash,Delivered,Corporate
O10101,C075,Robert Bates,East,West Bengal,Durgapur,Accessories,Power Bank,16,28581.58,4.58,436360.7,2026-11-27,Debit Card,Delivered,Corporate
O10102,C039,Brooke Griffith,North,Uttar Pradesh,Noida,Furniture,Sofa,35,9021.84,18.79,256432.27,2026-05-13,Debit Card,Delivered,Consumer
O10103,C424,Tyler Crawford,East,Odisha,Bhubaneswar,Accessories,Power Bank,3,30331.67,5.48,86008.48,2026-06-01,Cash,Pending,Corporate
O10104,C259,Richard Perez,North,Haryana,Panipat,Clothing,Dress,22,48211.43,17.79,871961.57,2026-09-01,Cash,Delivered,Consumer
O10105,C196,Samuel Hall,East,Odisha,Bhubaneswar,Furniture,Sofa,38,48593.93,13.83,1591188.8,2026-06-01,UPI,Delivered,Corporate
O10106,C304,Dawn Beck,South,Karnataka,Mysore,Sports,Football,3,28264.99,1.74,83319.54,2026-01-14,Net Banking,Delivered,Home Office
O10107,C065,Cynthia Diaz,North,Haryana,Panipat,Clothing,Jacket,12,46854.97,16.91,467181.53,2026-07-28,Cash,Delivered,Consumer
O10108,C148,Dr. Jasmine Jones,East,Bihar,Patna,Furniture,Cabinet,14,9638.89,8.93,122893.92,2026-08-31,Debit Card,Delivered,Home Office
O10109,C410,Gina Briggs DVM,South,Kerala,Kochi,Accessories,Smartwatch,31,9270.7,6.13,269774.59,2026-02-13,Credit Card,Pending,Consumer
O10110,C429,Shawna Gates,East,West Bengal,Kolkata,Clothing,Jacket,40,21677.49,7.07,805795.66,2026-06-09,Net Banking,Delivered,Corporate
O10111,C273,Erica Walters,South,Andhra Pradesh,Vijayawada,Sports,Yoga Mat,36,31665.58,9.37,1033146.55,2026-10-20,Net Banking,Delivered,Consumer
O10112,C114,Jamie Gomez DVM,West,Gujarat,Ahmedabad,Furniture,Sofa,24,42399.23,6.08,955712.56,2026-02-19,Debit Card,Delivered,Home Office
O10113,C438,David Howe,East,West Bengal,Siliguri,Sports,Cricket Bat,23,40033.48,1.05,911101.95,2026-11-27,Cash,Cancelled,Corporate
O10114,C112,Richard Barber,South,Andhra Pradesh,Guntur,Sports,Basketball,17,46332.6,5.25,746302.35,2026-04-21,UPI,Delivered,Home Office
O10115,C411,Mitchell Bradley,East,Odisha,Rourkela,Furniture,Cabinet,23,11985.55,6.75,257060.08,2026-08-02,Credit Card,Delivered,Consumer
O10116,C461,Ashley Gibson,South,Kerala,Kochi,Clothing,Jeans,1,28870.35,16.53,24098.08,2026-07-06,Cash,Delivered,Home Office
O10117,C232,Bobby Gilbert,South,Andhra Pradesh,Visakhapatnam,Appliances,Microwave,27,3537.29,2.38,93233.77,2026-10-05,Net Banking,Pending,Corporate
O10118,C421,Pamela Simmons,South,Tamil Nadu,Coimbatore,Appliances,Microwave,8,48592.1,16.15,325955.81,2026-01-07,Debit Card,Delivered,Corporate
O10119,C432,Kimberly Haynes,South,Tamil Nadu,Chennai,Sports,Basketball,7,18215.05,14.13,109488.84,2026-10-01,Debit Card,Delivered,Home Office
O10120,C051,Michael Bolton,West,Gujarat,Vadodara,Accessories,Charger,44,45796.99,3.74,1939704.03,2026-12-16,UPI,Delivered,Consumer
O10121,C025,Steven Thomas,South,Kerala,Kozhikode,Appliances,Air Conditioner,44,19293.11,5.7,800509.72,2026-06-05,Debit Card,Delivered,Home Office
O10122,C189,Krista Allen,West,Goa,Panaji,Electronics,Mouse,27,38800.42,14.35,897279.11,2026-06-16,Debit Card,Delivered,Home Office
O10123,C196,Nicholas Johnson,North,Punjab,Amritsar,Sports,Basketball,16,12293.97,9.71,177603.61,2026-11-24,Credit Card,Delivered,Corporate
O10124,C153,Kristina Jones,West,Goa,Panaji,Clothing,Dress,6,15721.08,6.89,87827.39,2026-07-13,Debit Card,Delivered,Consumer
O10125,C490,Steven Gomez,South,Karnataka,Bangalore,Furniture,Table,18,36528.42,1.06,650541.94,2026-02-20,Net Banking,Cancelled,Corporate
O10126,C298,Thomas Silva,East,Jharkhand,Dhanbad,Sports,Football,15,20640.75,19.97,247781.88,2026-12-19,Credit Card,Delivered,Consumer
O10127,C162,Deborah Marsh,East,Jharkhand,Dhanbad,Furniture,Chair,18,10736.67,6.78,180157.03,2026-11-04,Credit Card,Delivered,Consumer
O10128,C384,Christine Rodriguez,West,Goa,Panaji,Sports,Tennis Racket,16,33032.69,8.98,481061.67,2026-03-25,Debit Card,Delivered,Corporate
O10129,C417,Jose Cox,West,Rajasthan,Jodhpur,Electronics,Monitor,16,15802.32,7.11,234860.4,2026-12-11,Credit Card,Delivered,Consumer
O10130,C172,Heather Miller,East,Odisha,Bhubaneswar,Clothing,Shirt,19,38935.81,5.31,700498.05,2026-04-29,Debit Card,Delivered,Corporate
O10131,C318,Gary Gutierrez,East,Jharkhand,Jamshedpur,Appliances,Air Conditioner,44,45740.58,13.01,1750748.14,2026-06-21,UPI,Pending,Consumer
O10132,C407,Stephen Diaz,North,Punjab,Amritsar,Electronics,Printer,7,10596.77,11.12,65928.86,2026-06-26,Credit Card,Delivered,Home Office
O10133,C017,Daniel Henry,West,Rajasthan,Udaipur,Accessories,USB Cable,49,17519.6,12.94,747375.62,2026-05-04,Debit Card,Delivered,Consumer
O10134,C269,Joann White,North,Haryana,Panipat,Clothing,Jeans,30,25280.85,12.58,663015.57,2026-01-30,Net Banking,Delivered,Home Office
O10135,C306,Amy Hill,North,Haryana,Gurgaon,Appliances,Air Conditioner,48,27932.95,16.14,1124379.45,2026-04-18,Debit Card,Cancelled,Corporate
O10136,C409,Felicia Carter,North,Delhi,New Delhi,Electronics,Monitor,49,34321.01,8.56,1537773.45,2026-05-12,Credit Card,Delivered,Home Office
O10137,C102,Cindy Reilly,West,Gujarat,Surat,Appliances,Mixer,34,2140.28,19.68,58448.48,2026-02-20,UPI,Delivered,Home Office
O10138,C180,Paige Garcia,South,Kerala,Trivandrum,Appliances,Microwave,37,33592.39,1.32,1226511.91,2026-03-12,Credit Card,Delivered,Corporate
O10139,C014,Randy Hunt,East,Bihar,Bhagalpur,Electronics,Monitor,22,15039.39,17.25,273792.09,2026-04-30,Debit Card,Delivered,Corporate
O10140,C133,Victoria Pace,East,Jharkhand,Jamshedpur,Appliances,Refrigerator,11,26619.37,3.1,283735.86,2026-07-14,Cash,Delivered,Consumer
O10141,C046,Richard Paul,East,Odisha,Cuttack,Electronics,Printer,17,2486.5,4.6,40326.06,2026-02-05,Debit Card,Delivered,Home Office
O10142,C274,Cynthia Vasquez,South,Andhra Pradesh,Guntur,Sports,Cricket Bat,44,9290.35,9.68,369205.94,2026-11-14,Net Banking,Delivered,Corporate
O10143,C352,Darren Jenkins,South,Andhra Pradesh,Vijayawada,Electronics,Monitor,49,33550.58,19.09,1330142.94,2026-02-11,Debit Card,Delivered,Consumer
O10144,C466,Kevin Ramos,North,Punjab,Patiala,Electronics,Keyboard,10,32462.99,6.6,303204.33,2026-03-12,Cash,Delivered,Consumer
O10145,C134,Benjamin Davis,South,Tamil Nadu,Coimbatore,Clothing,Shirt,43,37568.15,7.79,1489588.42,2026-12-10,Cash,Delivered,Corporate
O10146,C148,Madeline Perez,North,Haryana,Gurgaon,Sports,Football,30,8742.27,14.34,224658.85,2026-04-18,Debit Card,Delivered,Consumer
O10147,C245,William Johnson PhD,North,Punjab,Amritsar,Clothing,Jeans,43,24551.42,8.1,970198.46,2026-09-24,Net Banking,Delivered,Consumer
O10148,C424,Dakota Ellison,East,Jharkhand,Ranchi,Furniture,Cabinet,50,48532.65,18.13,1986684.03,2026-09-13,Cash,Delivered,Home Office
O10149,C148,Curtis Moore MD,West,Gujarat,Ahmedabad,Appliances,Mixer,39,47243.54,1.13,1821677.83,2026-06-17,Debit Card,Delivered,Corporate
O10150,C168,Christine Lloyd,West,Goa,Margao,Furniture,Table,5,29877.57,5.15,141694.38,2026-06-18,UPI,Delivered,Consumer
O10151,C107,Mrs. Wendy Knight DDS,North,Uttar Pradesh,Kanpur,Clothing,Shirt,38,32043.75,10.65,1087981.44,2026-01-03,Net Banking,Delivered,Corporate
O10152,C456,Brandon Benton,East,West Bengal,Siliguri,Furniture,Cabinet,16,14889.71,2.86,231421.83,2026-11-22,Cash,Delivered,Corporate
O10153,C381,Charles Diaz,East,Bihar,Patna,Electronics,Printer,5,25557.66,19.72,102588.45,2026-05-28,UPI,Delivered,Corporate
O10154,C285,Bethany Harris,West,Rajasthan,Udaipur,Clothing,T-Shirt,31,27169.18,18.23,688703.39,2026-10-06,Debit Card,Pending,Corporate
O10155,C231,Christopher Campos,West,Rajasthan,Jaipur,Appliances,Microwave,50,7743.79,6.7,361247.8,2026-07-17,Cash,Pending,Home Office
O10156,C427,Christopher White,West,Maharashtra,Mumbai,Accessories,Smartwatch,50,29709.95,7.9,1368143.2,2026-04-29,UPI,Delivered,Consumer
O10157,C251,Brenda Caldwell,South,Tamil Nadu,Madurai,Furniture,Bookshelf,24,6071.91,2.24,142461.58,2026-11-03,Cash,Delivered,Consumer
O10158,C492,Edwin Ryan,East,Odisha,Cuttack,Electronics,Laptop,5,39694.87,7.17,184243.74,2026-12-31,Net Banking,Delivered,Home Office
O10159,C145,Karen Davis,East,Jharkhand,Dhanbad,Clothing,Jacket,33,817.27,5.39,25516.23,2026-09-13,Credit Card,Delivered,Consumer
O10160,C365,Katie Aguilar,East,Bihar,Bhagalpur,Appliances,Microwave,48,43633.57,6.34,1961625.68,2026-11-13,Net Banking,Pending,Home Office
O10161,C172,Cheryl Hodges,West,Goa,Panaji,Clothing,Dress,28,44084.14,13.12,1072408.42,2026-03-31,Cash,Delivered,Consumer
O10162,C327,Arthur Jones,East,Bihar,Gaya,Electronics,Printer,34,2588.21,16.58,73408.88,2026-07-07,Cash,Delivered,Home Office
O10163,C098,Hannah Wilcox,North,Delhi,New Delhi,Sports,Basketball,40,36497.39,18.15,1194924.55,2026-02-28,UPI,Delivered,Corporate
O10164,C194,Dawn Bowers,North,Delhi,New Delhi,Electronics,Printer,1,32459.95,9.2,29473.63,2026-06-09,UPI,Cancelled,Corporate
O10165,C206,Jeremy Joyce,North,Delhi,New Delhi,Accessories,Headset,3,48760.62,9.73,132048.64,2026-01-28,UPI,Delivered,Home Office
O10166,C371,Holly Vazquez,East,Odisha,Cuttack,Sports,Football,39,43293.52,8.82,1539526.23,2026-12-16,UPI,Delivered,Consumer
O10167,C031,William Pruitt,West,Goa,Panaji,Appliances,Air Conditioner,11,5620.99,12.59,54046.38,2026-02-08,Cash,Delivered,Home Office
O10168,C258,Lucas Phillips,West,Goa,Panaji,Clothing,Jacket,20,27214.97,10.25,488508.71,2026-03-26,UPI,Pending,Home Office
O10169,C028,Lori Riley,East,Bihar,Bhagalpur,Furniture,Bookshelf,38,29706.35,19.38,910071.86,2026-08-06,Net Banking,Delivered,Home Office
O10170,C279,Nancy Johnson,South,Andhra Pradesh,Visakhapatnam,Accessories,Headset,41,35211.22,15.16,1224801.16,2026-11-01,Debit Card,Delivered,Consumer
O10171,C376,Erica Watson,West,Maharashtra,Mumbai,Accessories,Smartwatch,46,18608.25,7.74,789726.69,2026-02-10,Credit Card,Delivered,Home Office
O10172,C245,Erin Riddle,East,Bihar,Patna,Furniture,Chair,33,7649.84,5.05,239696.26,2026-03-13,Debit Card,Delivered,Consumer
O10173,C355,Paul Hill,North,Punjab,Patiala,Sports,Cricket Bat,7,45229.64,10.79,282445.53,2026-10-24,Cash,Delivered,Consumer
O10174,C111,Andrew Anderson,East,West Bengal,Kolkata,Electronics,Laptop,11,14168.51,3.89,149790.9,2026-07-29,Credit Card,Delivered,Corporate
O10175,C080,Stephen Miranda,South,Kerala,Kochi,Clothing,Dress,44,15923.3,18.66,569888.54,2026-08-02,UPI,Cancelled,Corporate
O10176,C383,Richard Smith,South,Andhra Pradesh,Visakhapatnam,Clothing,Jacket,50,45445.3,0.42,2262721.49,2026-08-10,UPI,Delivered,Consumer
